Id,Norte,Este,Expediente,Pueblo,Colonia_Ba,Territoria,Alcaldia,Fecha_de_I,Instalado
51,-98.990333,19.220314,64-MEAGJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
52,-99.007079,19.179132,65-GAFLIR-MIA-22,SANTA ANA TLACOTENCO,BARRIO SAN JOSE,NO APLICA,MILPA ALTA,2022/06/14,Programa SCALL
53,-99.006509,19.192961,66-MERUJE-MIA-22,PUEBLO SAN JERONIMO MIACATLAN,NO APLICA,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
54,-98.989166,19.220119,67-BLGAAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
55,-98.999043,19.220822,68-FLPAMI-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/14,Programa SCALL
56,-99.00538,19.192835,69-ROMOLU-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/12,Programa SCALL
57,-99.020147,19.186887,70-ROARJA-MIA-22,VILLA MILPA ALTA,BARRIO LA CONCEPCION,NO APLICA,MILPA ALTA,2022/05/06,Programa SCALL
58,-98.990015,19.21895,71-MEAGVI-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
59,-98.991853,19.218737,72-POJIRE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/21,Programa SCALL
60,-98.9992,19.219632,73-RAAMLA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
61,-99.001088,19.223235,74-LIHEMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/19,Programa SCALL
62,-98.998834,19.219204,75-BATEZY-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/27,Programa SCALL
63,-98.995336,19.226569,76-ILAYMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TECAXTITLA,NO APLICA,MILPA ALTA,2022/05/03,Programa SCALL
64,-99.007309,19.191173,77-CRGAGE-MIA-22,PUEBLO SAN JERONIMO MIACATLAN,NO APLICA,NO APLICA,MILPA ALTA,2022/09/28,Programa SCALL
65,-99.005038,19.192912,78-SIRODU-MIA-22,PUEBLO SAN JERONIMO MIACATLAN,NO APLICA,NO APLICA,MILPA ALTA,2022/05/19,Programa SCALL
66,-99.002032,19.197391,79-MEHEVE-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/12,Programa SCALL
67,-99.004876,19.197012,80-JISUYA-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/12,Programa SCALL
68,-98.998056,19.219778,81-HEHEHO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/06/07,Programa SCALL
69,-99.005642,19.200466,82-JUGURO-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
70,-98.991969,19.218859,84-LOLAMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
71,-99.006811,19.196797,85-BEGOCI-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/12,Programa SCALL
72,-98.992995,19.176167,86-FLALMA-MIA-22,SANTA ANA TLACOTENCO,BARRIO LA LUPITA TETIPAC,NO APLICA,MILPA ALTA,2022/06/11,Programa SCALL
73,-98.9992,19.222411,87-ALPIMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/06/18,Programa SCALL
74,-99.000442,19.222274,88-FRBADA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/05,Programa SCALL
75,-99.001197,19.221188,89-AYSAPA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
76,-99.00441,19.197665,90-BAMEJU-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/12,Programa SCALL
77,-98.996953,19.219252,91-ROBEFI-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
78,-98.996469,19.190513,92-MAREMA-MIA-22,PUEBLO SAN JUAN TEPENAHUAC,NO APLICA,NO APLICA,MILPA ALTA,2022/05/05,Programa SCALL
79,-99.005321,19.193075,93-LOSIST-MIA-22,PUEBLO SAN JERONIMO MIACATLAN,NO APLICA,NO APLICA,MILPA ALTA,2022/05/19,Programa SCALL
80,-99.005638,19.200461,94-CRJUMA-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
81,-98.996292,19.219545,95-ROMEFI-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
82,-99.00525,19.192742,96-LOHEGU-MIA-22,PUEBLO SAN JERONIMO MIACATLAN,NO APLICA,NO APLICA,MILPA ALTA,2022/06/01,Programa SCALL
83,-99.005673,19.200454,97-CRJUSI-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
84,-98.990066,19.220858,98-ALHEMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/07/08,Programa SCALL
85,-98.991703,19.207707,99-SEMALU-MIA-22,SAN ANTONIO TECOMITL,SAN ANTONIO TECóMITL - ZE,NO APLICA,MILPA ALTA,2022/12/10,Programa SCALL
86,-99.004287,19.198234,100-HEHEAL-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
87,-99.004378,19.197343,101-GABAMA-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/30,Programa SCALL
88,-99.000727,19.221634,102-CAROYE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TECAXTITLA,NO APLICA,MILPA ALTA,2022/05/27,Programa SCALL
89,-99.003263,19.194354,103-MEJIGE-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/17,Programa SCALL
90,-99.004436,19.197925,105-MOCHHU-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
91,-98.996916,19.220892,106-SAGAMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/08/11,Programa SCALL
92,-98.99812,19.188416,109-MANALU-MIA-22,PUEBLO SAN JUAN TEPENAHUAC,NO APLICA,NO APLICA,MILPA ALTA,2022/05/05,Programa SCALL
93,-98.999586,19.220801,110-HEBLMI-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/19,Programa SCALL
94,-99.004511,19.192914,111-CAMARO-MIA-22,PUEBLO SAN JERONIMO MIACATLAN,NO APLICA,NO APLICA,MILPA ALTA,2022/05/26,Programa SCALL
95,-99.00456,19.19379,112-IBFLEN-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/30,Programa SCALL
96,-99.005602,19.193642,114-MEMASO-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
97,-99.005009,19.19636,115-DECRMA-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/26,Programa SCALL
98,-98.996435,19.220496,116-JIVAMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/14,Programa SCALL
99,-98.996953,19.219252,117-ROCRPE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
100,-99.003147,19.19435,118-MOPEGL-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/26,Programa SCALL
101,-98.997689,19.21854,119-LIJUIT-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/07/02,Programa SCALL
102,-98.996777,19.218888,121-ANRORO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
103,-99.000393,19.222876,124-VARIXO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/21,Programa SCALL
104,-98.998571,19.22205,125-PEMARO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/09/05,Programa SCALL
105,-99.000067,19.219249,126-PEREJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/06/22,Programa SCALL
106,-99.001615,19.219862,127-HEESEM-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/07/13,Programa SCALL
107,-98.996655,19.219109,128-ROBEGR-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/09/19,Programa SCALL
108,-98.991977,19.218812,129-RALOAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/14,Programa SCALL
109,-98.997766,19.18942,130-IBROTO-MIA-22,PUEBLO SAN JUAN TEPENAHUAC,NO APLICA,NO APLICA,MILPA ALTA,2022/10/04,Programa SCALL
110,-99.02162,19.184266,132-ARROMI-MIA-22,VILLA MILPA ALTA,BARRIO LA CONCEPCION,NO APLICA,MILPA ALTA,2022/08/23,Programa SCALL
111,-99.00142,19.194812,135-FLGARI-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/09/09,Programa SCALL
112,-98.999168,19.220544,136-CARAMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
113,-99.000762,19.194694,137-ROBRJA-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/12,Programa SCALL
114,-99.005467,19.193647,138-PETRER-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
115,-98.996554,19.190081,140-LAPEMA-MIA-22,PUEBLO SAN JUAN TEPENAHUAC,NO APLICA,NO APLICA,MILPA ALTA,2022/06/13,Programa SCALL
116,-98.996459,19.220196,141-RAAVLA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
117,-99.02173,19.189018,142-ROARES-MIA-22,VILLA MILPA ALTA,BARRIO LOS ANGELES,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
118,-99.008261,19.19843,143-GOCHLO-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/26,Programa SCALL
119,-99.002858,19.19688,145-SUGAHO-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/30,Programa SCALL
120,-98.996634,19.218958,146-VEMEEL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/21,Programa SCALL
121,-98.998508,19.219551,147-ROCRCA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/09/01,Programa SCALL
122,-99.093473,19.190943,148-PAPEAD-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,NO APLICA,NO APLICA,MILPA ALTA,2022/05/23,Programa SCALL
123,-99.023106,19.195217,149-MEPEYA-MIA-22,VILLA MILPA ALTA,BARRIO SANTA CRUZ-MIA,NO APLICA,MILPA ALTA,2022/05/06,Programa SCALL
124,-99.092322,19.19394,150-PAVAYE-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,SAN SALVADOR CUAUHTENCO- ZE,NO APLICA,MILPA ALTA,2022/11/28,Programa SCALL
125,-99.003732,19.193284,151-AGMEIS-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/26,Programa SCALL
126,-99.001236,19.191261,152-NOMEYE-MIA-22,PUEBLO SAN JERONIMO MIACATLAN,NO APLICA,NO APLICA,MILPA ALTA,2022/05/26,Programa SCALL
127,-99.024874,19.198644,153-CRFLYU-MIA-22,VILLA MILPA ALTA,BARRIO SANTA MARTHA,NO APLICA,MILPA ALTA,2022/05/28,Programa SCALL
128,-99.030176,19.181241,155-ARMOMA-MIA-22,PUEBLO SAN LORENZO TLACOYUCAN,NO APLICA,NO APLICA,MILPA ALTA,2022/05/24,Programa SCALL
129,-99.00163,19.220328,156-RAJIYU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/08/04,Programa SCALL
130,-99.00636,19.19518,158-MEJIVA-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/19,Programa SCALL
131,-99.026787,19.17549,159-REVATO-MIA-22,PUEBLO SAN LORENZO TLACOYUCAN,NO APLICA,NO APLICA,MILPA ALTA,2022/05/28,Programa SCALL
132,-99.019497,19.1874,160-MEFLYO-MIA-22,VILLA MILPA ALTA,BARRIO LA CONCEPCION,NO APLICA,MILPA ALTA,2022/05/20,Programa SCALL
133,-99.053603,19.198265,161-VIENYO-MIA-22,SAN PEDRO ATOCPAN,BARRIO OCOTITLA,NO APLICA,MILPA ALTA,2022/05/17,Programa SCALL
134,-99.033019,19.199368,162-MEMOAD-MIA-22,VILLA MILPA ALTA,BARRIO SANTA MARTHA,NO APLICA,MILPA ALTA,2022/09/26,Programa SCALL
135,-99.019795,19.193884,163-FUCAZA-MIA-22,VILLA MILPA ALTA,BARRIO SANTA CRUZ-MIA,NO APLICA,MILPA ALTA,2022/05/06,Programa SCALL
136,-98.998714,19.22204,164-LOROLU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/07,Programa SCALL
137,-99.001883,19.192102,165-FLPEVI-MIA-22,PUEBLO SAN JERONIMO MIACATLAN,NO APLICA,NO APLICA,MILPA ALTA,2022/06/16,Programa SCALL
138,-99.020372,19.186981,166-NOJIMA-MIA-22,VILLA MILPA ALTA,BARRIO LA CONCEPCION,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
139,-99.00055,19.22164,167-TAVAMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/02,Programa SCALL
140,-98.999267,19.224395,168-SAOJIN-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/14,Programa SCALL
141,-98.99691,19.219261,169-RASIAN-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,MILPA ALTA,2022/05/14,Programa SCALL
142,-98.992814,19.226339,170-JIESFR-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,MILPA ALTA,2022/05/14,Programa SCALL
143,-98.996899,19.188692,171-SASAFE-MIA-22,PUEBLO SAN JUAN TEPENAHUAC,NO APLICA,NO APLICA,MILPA ALTA,2022/05/05,Programa SCALL
144,-99.026733,19.187778,172-XXRICE-MIA-22,VILLA MILPA ALTA,BARRIO LA LUZ,NO APLICA,MILPA ALTA,2022/05/13,Programa SCALL
145,-99.03852,19.1765,173-HEGASE-MIA-22,PUEBLO SAN LORENZO TLACOYUCAN,SAN LORENZO TLACOYUCAN- ZE,NO APLICA,MILPA ALTA,2022/12/07,Programa SCALL
146,-99.002665,19.19431,174-LOMAFE-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/04,Programa SCALL
147,-99.018602,19.196041,175-DEMODA-MIA-22,VILLA MILPA ALTA,BARRIO SANTA CRUZ-MIA,NO APLICA,MILPA ALTA,2022/05/13,Programa SCALL
148,-98.993424,19.178774,177-CRMEED-MIA-22,SANTA ANA TLACOTENCO,BARRIO LA LUPITA TETIPAC,NO APLICA,MILPA ALTA,2022/06/03,Programa SCALL
149,-99.026642,19.184063,178-ROMAHU-MIA-22,VILLA MILPA ALTA,BARRIO LA LUZ,NO APLICA,MILPA ALTA,2022/05/20,Programa SCALL
150,-99.034943,19.172778,179-DERERI-MIA-22,PUEBLO SAN LORENZO TLACOYUCAN,NO APLICA,NO APLICA,MILPA ALTA,2022/05/24,Programa SCALL
151,-98.997196,19.17519,180-BODACR-MIA-22,SANTA ANA TLACOTENCO,BARRIO SAN MIGUEL (STA ANA TLACOTENCO),NO APLICA,MILPA ALTA,2022/05/18,Programa SCALL
152,-99.021361,19.203431,181-PRMABE-MIA-22,VILLA MILPA ALTA,BO. SANTA CRUZ- ZE,NO APLICA,MILPA ALTA,2022/12/09,Programa SCALL
153,-99.001368,19.19511,182-LUBAJO-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/09,Programa SCALL
154,-99.036868,19.178157,183-OSARKA-MIA-22,PUEBLO SAN LORENZO TLACOYUCAN,NO APLICA,NO APLICA,MILPA ALTA,2022/07/19,Programa SCALL
155,-99.001626,19.195639,184-ALIBSA-MIA-22,PUEBLO SAN FRANCISCO TECOXPA,NO APLICA,NO APLICA,MILPA ALTA,2022/05/17,Programa SCALL
156,-99.03243,19.181878,185-SEYEEB-MIA-22,PUEBLO SAN LORENZO TLACOYUCAN,NO APLICA,NO APLICA,MILPA ALTA,2022/07/19,Programa SCALL
157,-99.022668,19.196026,186-MOGORU-MIA-22,VILLA MILPA ALTA,BARRIO SANTA MARTHA,NO APLICA,MILPA ALTA,2022/05/20,Programa SCALL
